Expt,Well,Subline,Time_h,Cell.count,Condition,FUCCI.cells,UID
X20120612,E02,DS1,0,50,Erlotinib,25,DS1_X20120612_E02
X20120612,E02,DS1,1.005,56,Erlotinib,31,DS1_X20120612_E02
X20120612,E02,DS1,2.01,56,Erlotinib,25,DS1_X20120612_E02
X20120612,E02,DS1,3.015,79,Erlotinib,29,DS1_X20120612_E02
X20120612,E02,DS1,4.02,91,Erlotinib,22,DS1_X20120612_E02
X20120612,E02,DS1,5.024999999,99,Erlotinib,23,DS1_X20120612_E02
X20120612,E02,DS1,6.029999999,96,Erlotinib,21,DS1_X20120612_E02
X20120612,E02,DS1,7.034999999,99,Erlotinib,20,DS1_X20120612_E02
X20120612,E02,DS1,8.039999999,104,Erlotinib,19,DS1_X20120612_E02
X20120612,E02,DS1,9.044999999,101,Erlotinib,18,DS1_X20120612_E02
X20120612,E02,DS1,10.05,108,Erlotinib,15,DS1_X20120612_E02
X20120612,E02,DS1,11.055,103,Erlotinib,19,DS1_X20120612_E02
X20120612,E02,DS1,12.06,116,Erlotinib,18,DS1_X20120612_E02
X20120612,E02,DS1,13.065,114,Erlotinib,18,DS1_X20120612_E02
X20120612,E02,DS1,14.07,111,Erlotinib,13,DS1_X20120612_E02
X20120612,E02,DS1,15.075,122,Erlotinib,17,DS1_X20120612_E02
X20120612,E02,DS1,16.08,129,Erlotinib,20,DS1_X20120612_E02
X20120612,E02,DS1,17.085,132,Erlotinib,21,DS1_X20120612_E02
X20120612,E02,DS1,18.09,136,Erlotinib,24,DS1_X20120612_E02
X20120612,E02,DS1,19.095,135,Erlotinib,17,DS1_X20120612_E02
X20120612,E02,DS1,20.1,140,Erlotinib,18,DS1_X20120612_E02
X20120612,E02,DS1,21.105,145,Erlotinib,18,DS1_X20120612_E02
X20120612,E02,DS1,22.11,140,Erlotinib,19,DS1_X20120612_E02
X20120612,E02,DS1,23.115,151,Erlotinib,20,DS1_X20120612_E02
X20120612,E02,DS1,24.12,157,Erlotinib,18,DS1_X20120612_E02
X20120612,E02,DS1,25.125,149,Erlotinib,12,DS1_X20120612_E02
X20120612,E02,DS1,26.13,156,Erlotinib,13,DS1_X20120612_E02
X20120612,E02,DS1,27.135,161,Erlotinib,8,DS1_X20120612_E02
X20120612,E02,DS1,28.14,164,Erlotinib,7,DS1_X20120612_E02
X20120612,E02,DS1,29.145,169,Erlotinib,7,DS1_X20120612_E02
X20120612,E02,DS1,30.15,172,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,31.155,173,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,32.16,179,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,33.165,163,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,34.17,184,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,35.175,184,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,36.18,187,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,37.185,187,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,38.19,189,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,39.195,192,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,40.2,190,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,41.205,192,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,42.21,191,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,43.215,188,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,44.22,188,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,45.22499999,192,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,46.22999999,187,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,47.23499999,192,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,48.23999999,192,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,49.24499999,190,Erlotinib,3,DS1_X20120612_E02
